State,County,Geographic Code,Patron Code
IL,Bond County,Illinois,Non-Resident
IL,Calhoun County,Illinois,Non-Resident
IL,Clinton County,Illinois,Non-Resident
IL,Jersey County,Illinois,Non-Resident
IL,Macoupin County,Illinois,Non-Resident
IL,Madison County,Illinois,Non-Resident
IL,Monroe County,Illinois,Non-Resident
IL,St. Clair County,Illinois,Non-Resident
MO,Franklin County,Franklin County,Reciprocal
MO,Gasconade County,Gasconade County,Reciprocal
MO,Lincoln County,Other MO,Non-Resident
MO,St. Charles County,St Charles,Reciprocal
MO,St. Louis City,St Louis City,Reciprocal
MO,Warren County,Warren County,Reciprocal
