Geographic Code,State,County,Patron Type
Illinois,IL,Bond County,Non-Resident
Illinois,IL,Calhoun County,Non-Resident
Illinois,IL,Clinton County,Non-Resident
Franklin County,MO,Franklin County,Reciprocal
Washington Public Library,MO,,Reciprocal
Gasconade County,MO,Gasconade County,Reciprocal
Jefferson County,MO,Jefferson County,Reciprocal
Illinois,IL,Jersey County,Non-Resident
Other MO,MO,Lincoln County,Non-Resident
Illinois,IL,Macoupin County,Non-Resident
Illinois,IL,Madison County,Non-Resident
Illinois,IL,Monroe County,Non-Resident
St Charles,MO,Saint Charles County,Reciprocal
Illinois,IL,Saint Clair County,Non-Resident
St Louis City,MO,Saint Louis City,Reciprocal
Brentwood,MO,Saint Louis County,Reciprocal
Ferguson,MO,Saint Louis County,Reciprocal
Kirkwood,MO,Saint Louis County,Reciprocal
Maplewood,MO,Saint Louis County,Reciprocal
Richmond Heights,MO,Saint Louis County,Reciprocal
Rock Hill,MO,Saint Louis County,Reciprocal
St Louis County,MO,Saint Louis County,Resident
University City,MO,Saint Louis County,Reciprocal
Valley Park,MO,Saint Louis County,Reciprocal
Webster Groves,MO,Saint Louis County,Reciprocal
Warren County,MO,Warren County,Reciprocal
Other States,MO,,Ineligible
