,ZIP CODE,GEO CODE
0,-,"['F', 'any ZIP code that does not appear on this sheet, check eligibility f', 'a Special card type first. Otherwise, the person is ineligible f', 'a SLCL library card but may still use many of our services (including attending programs, browsing materials while in a library building, accessing public computers with a guest pass, and m', 'e).']"
1,63005,['St. Louis County']
2,63011,['St. Louis County']
3,63017,['St. Louis County']
4,63021,['St. Louis County']
5,63031,['St. Louis County']
6,63033,['St. Louis County']
7,63034,['St. Louis County']
8,63038,['St. Louis County']
9,63040,['St. Louis County']
10,63042,['St. Louis County']
11,63043,['St. Louis County']
12,63044,['St. Louis County']
13,63074,['St. Louis County']
14,63114,['St. Louis County']
15,63126,['St. Louis County']
16,63127,['St. Louis County']
17,63128,['St. Louis County']
18,63129,['St. Louis County']
19,63131,['St. Louis County']
20,63134,['St. Louis County']
21,63140,['St. Louis County']
22,63141,['St. Louis County']
23,63146,['St. Louis County']
24,63121,"['St. Louis County', 'Ferguson']"
25,63135,"['St. Louis County', 'Ferguson']"
26,63025,"['St. Louis County', 'Jefferson County']"
27,63026,"['St. Louis County', 'Jefferson County']"
28,63049,"['St. Louis County', 'Jefferson County']"
29,63069,"['St. Louis County', 'Jefferson County', 'Franklin County']"
30,63122,"['St. Louis County', 'Kirkwood']"
31,63124,"['St. Louis County', 'Richmond Heights', 'University City']"
32,63120,"['St. Louis County', 'St. Louis City']"
33,63123,"['St. Louis County', 'St. Louis City']"
34,63125,"['St. Louis County', 'St. Louis City']"
35,63136,"['St. Louis County', 'St. Louis City', 'Ferguson']"
36,63137,"['St. Louis County', 'St. Louis City']"
37,63138,"['St. Louis County', 'St. Louis City']"
38,63117,"['St. Louis County', 'St. Louis City', 'Richmond Heights']"
39,63119,"['St. Louis County', 'St. Louis City', 'Rock Hill', 'Webster Groves']"
40,63105,"['St. Louis County', 'St. Louis City', 'University City']"
41,63130,"['St. Louis County', 'St. Louis City', 'University City']"
42,63132,"['St. Louis County', 'University City']"
43,63133,"['St. Louis County', 'University City']"
44,63088,"['St. Louis County', 'Valley Park']"
45,63101,['St. Louis City']
46,63102,['St. Louis City']
47,63103,['St. Louis City']
48,63104,['St. Louis City']
49,63106,['St. Louis City']
50,63107,['St. Louis City']
51,63108,['St. Louis City']
52,63109,['St. Louis City']
53,63110,['St. Louis City']
54,63111,['St. Louis City']
55,63112,['St. Louis City']
56,63113,['St. Louis City']
57,63115,['St. Louis City']
58,63116,['St. Louis City']
59,63118,['St. Louis City']
60,63139,['St. Louis City']
61,63147,['St. Louis City']
62,63143,"['St. Louis City', 'Maplewood']"
63,63144,['Brentwood']
64,63301,['St. Charles']
65,63303,['St. Charles']
66,63304,['St. Charles']
67,63332,['St. Charles']
68,63341,['St. Charles']
69,63348,['St. Charles']
70,63366,['St. Charles']
71,63367,['St. Charles']
72,63368,['St. Charles']
73,63373,['St. Charles']
74,63376,['St. Charles']
75,63385,['St. Charles']
76,63386,['St. Charles']
77,63010,['Jefferson County']
78,63012,['Jefferson County']
79,63016,['Jefferson County']
80,63019,['Jefferson County']
81,63020,['Jefferson County']
82,63023,['Jefferson County']
83,63028,['Jefferson County']
84,63030,['Jefferson County']
85,63047,['Jefferson County']
86,63048,['Jefferson County']
87,63050,['Jefferson County']
88,63051,['Jefferson County']
89,63052,['Jefferson County']
90,63053,['Jefferson County']
91,63057,['Jefferson County']
92,63065,['Jefferson County']
93,63066,['Jefferson County']
94,63070,['Jefferson County']
95,63626,"['Jefferson County', 'N/A']"
96,63627,"['Jefferson County', 'N/A']"
97,63013,['Franklin County']
98,63015,['Franklin County']
99,63037,['Franklin County']
100,63039,['Franklin County']
101,63041,['Franklin County']
102,63055,['Franklin County']
103,63056,['Franklin County']
104,63060,['Franklin County']
105,63061,['Franklin County']
106,63068,['Franklin County']
107,63072,['Franklin County']
108,63073,['Franklin County']
109,63077,['Warren County']
110,63079,['Franklin County']
111,63080,['Franklin County']
112,63084,['Franklin County']
113,63089,['Franklin County']
114,63014,"['Franklin County', 'Gasconade County']"
115,63091,"['Franklin County', 'Gasconade County']"
116,63090,"['Franklin County', 'Washington Public Library']"
117,65036,['Gasconade County']
118,65062,['Gasconade County']
119,63342,['Warren County']
120,63357,['Warren County']
121,63378,['Warren County']
122,63383,['Warren County']
123,63390,['Warren County']
124,65441,"['Franklin County', 'N/A']"
125,65066,"['Gasconade County', 'N/A']"
126,65453,"['Gasconade County', 'N/A']"
127,63381,"['Warren County', 'Other MO']"
128,63071,"['Franklin County', 'N/A']"
129,65041,"['Gasconade County', 'N/A']"
130,65014,"['Gasconade County', 'N/A']"
131,65061,"['Gasconade County', 'N/A']"
132,63351,"['Warren County', 'N/A']"
133,63343,['Other MO']
134,63347,['Other MO']
135,63349,['Other MO']
136,63362,['Other MO']
137,63369,['Other MO']
138,63370,['Other MO']
139,63377,['Other MO']
140,63379,['Other MO']
141,63387,['Other MO']
142,63389,['Other MO']
143,62246,['Illinois']
144,62284,['Illinois']
145,62006,['Illinois']
146,62013,['Illinois']
147,62036,['Illinois']
148,62045,['Illinois']
149,62047,['Illinois']
150,62053,['Illinois']
151,62065,['Illinois']
152,62070,['Illinois']
153,62355,['Illinois']
154,62361,['Illinois']
155,62215,['Illinois']
156,62218,['Illinois']
157,62230,['Illinois']
158,62231,['Illinois']
159,62245,['Illinois']
160,62253,['Illinois']
161,62265,['Illinois']
162,62275,['Illinois']
163,62283,['Illinois']
164,62293,['Illinois']
165,62471,['Illinois']
166,62801,['Illinois']
167,62012,['Illinois']
168,62022,['Illinois']
169,62028,['Illinois']
170,62030,['Illinois']
171,62031,['Illinois']
172,62037,['Illinois']
173,62052,['Illinois']
174,62063,['Illinois']
175,62009,['Illinois']
176,62014,['Illinois']
177,62033,['Illinois']
178,62069,['Illinois']
179,62079,['Illinois']
180,62626,['Illinois']
181,62630,['Illinois']
182,62640,['Illinois']
183,62649,['Illinois']
184,62667,['Illinois']
185,62672,['Illinois']
186,62674,['Illinois']
187,62683,['Illinois']
188,62685,['Illinois']
189,62001,['Illinois']
190,62002,['Illinois']
191,62010,['Illinois']
192,62018,['Illinois']
193,62021,['Illinois']
194,62024,['Illinois']
195,62025,['Illinois']
196,62034,['Illinois']
197,62035,['Illinois']
198,62040,['Illinois']
199,62046,['Illinois']
200,62048,['Illinois']
201,62060,['Illinois']
202,62061,['Illinois']
203,62067,['Illinois']
204,62074,['Illinois']
205,62084,['Illinois']
206,62090,['Illinois']
207,62095,['Illinois']
208,62097,['Illinois']
209,62249,['Illinois']
210,62281,['Illinois']
211,62294,['Illinois']
212,62234,['Illinois']
213,62236,['Illinois']
214,62244,['Illinois']
215,62248,['Illinois']
216,62256,['Illinois']
217,62278,['Illinois']
218,62279,['Illinois']
219,62295,['Illinois']
220,62298,['Illinois']
221,62201,['Illinois']
222,62203,['Illinois']
223,62204,['Illinois']
224,62205,['Illinois']
225,62206,['Illinois']
226,62207,['Illinois']
227,62208,['Illinois']
228,62220,['Illinois']
229,62221,['Illinois']
230,62223,['Illinois']
231,62225,['Illinois']
232,62232,['Illinois']
233,62239,['Illinois']
234,62240,['Illinois']
235,62243,['Illinois']
236,62254,['Illinois']
237,62255,['Illinois']
238,62257,['Illinois']
239,62258,['Illinois']
240,62260,['Illinois']
241,62264,['Illinois']
242,62269,['Illinois']
243,62285,['Illinois']
